#{"t_start": 1749318088.2601073, "env_id": "None"}
r,l,t
-100000.0,1,0.676612
-100000.0,1,0.683632
-100000.0,1,0.685723
-100000.0,1,0.687483
-100000.0,1,0.691429
-100000.0,1,0.693023
-100000.0,1,0.697179
-100000.0,1,0.699018
-100000.0,1,0.70267
-100000.0,1,0.706616
-100000.0,1,0.708889
-100000.0,1,0.711116
-100000.0,1,0.717331
-100000.0,1,0.719482
-100000.0,1,0.723953
-100000.0,1,0.72595
-100000.0,1,0.731238
-1496723.194762,2,0.733801
-1647134.531541,2,0.737007
-2567930.634519,2,0.739632
-100000.0,1,0.742946
-100000.0,1,0.749633
-100000.0,1,0.752716
-100000.0,1,0.756684
-100000.0,1,0.761081
-100000.0,1,0.765635
-772251.029006,2,0.769785
-100000.0,1,0.771846
-100000.0,1,0.780482
-100000.0,1,0.783111
-100000.0,1,0.787135
-100000.0,1,0.789198
-100000.0,1,0.793715
-100000.0,1,0.795091
-100000.0,1,0.799474
-100000.0,1,0.802265
-100000.0,1,0.807174
-100000.0,1,0.811408
-100000.0,1,0.814338
-100000.0,1,0.816359
-110667.409521,2,0.819722
-296823.45268,2,0.823354
-100000.0,1,0.825526
-100000.0,1,0.830972
-100000.0,1,0.834656
-100000.0,1,0.838252
-1134168.756621,2,0.842617
-340519.691652,2,0.845044
-100000.0,1,0.850659
-100000.0,1,0.852634
-100000.0,1,0.854019
-424688.094682,2,0.857441
-100000.0,1,0.860685
-100000.0,1,0.863794
-100000.0,1,0.866895
-100000.0,1,0.871167
-100000.0,1,0.877565
-1598609.547241,3,0.882749
-100000.0,1,0.884592
-100000.0,1,0.889706
-100000.0,1,0.894422
-100000.0,1,0.896406
-100000.0,1,0.898478
-100000.0,1,0.900932
-100000.0,1,0.90399
-100000.0,1,0.905952
-100000.0,1,0.90821
-100000.0,1,0.910544
-100000.0,1,0.918365
-100000.0,1,0.920327
-100000.0,1,0.921738
-7553073.930441,3,0.925937
-442748.138077,2,0.930639
-100000.0,1,0.935398
-100000.0,1,0.937502
-100000.0,1,0.94299
-100000.0,1,0.946809
-100000.0,1,0.948879
-100000.0,1,0.953304
-100000.0,1,0.95899
-100000.0,1,0.963874
-100000.0,1,0.965362
-972720.935164,3,0.967389
-100000.0,1,0.969412
-5872770.237263,4,0.977309
-100000.0,1,0.982141
-100000.0,1,0.988169
-100000.0,1,0.991561
-100000.0,1,0.997618
-100000.0,1,1.00188
-100000.0,1,1.005134
-100000.0,1,1.006921
-100000.0,1,1.015774
-100000.0,1,1.019398
-100000.0,1,1.022954
-409447.88332,2,1.025985
-100000.0,1,1.030943
-100000.0,1,1.03402
-4887744.022653,4,1.037539
-100000.0,1,1.040688
-100000.0,1,1.044951
-100000.0,1,1.049409
-100000.0,1,1.051635
-100000.0,1,1.054716
-100000.0,1,1.06042
-544019.687104,2,1.065114
-100000.0,1,1.06849
-386124.583822,2,1.072762
-100000.0,1,1.07656
-100000.0,1,1.080181
-100000.0,1,1.084354
-100000.0,1,1.091093
-2930728.580371,3,1.098256
-100000.0,1,1.102762
-100000.0,1,1.105013
-812509.595231,2,1.107337
-100000.0,1,1.112916
-100000.0,1,1.114768
-100000.0,1,1.118334
-100000.0,1,1.120356
-158189.144034,2,1.12836
-100000.0,1,1.132711
-100000.0,1,1.138037
-100000.0,1,1.140811
-100000.0,1,1.145905
-100000.0,1,1.148088
-100000.0,1,1.151216
-100000.0,1,1.154594
-100000.0,1,1.158659
-100000.0,1,1.160842
-100000.0,1,1.162432
-100000.0,1,1.1696
-100000.0,1,1.174074
-100000.0,1,1.17718
-100000.0,1,1.179263
-100000.0,1,1.184869
-100000.0,1,1.189319
-100000.0,1,1.192627
