algo,variant,mean,std,count,mean_std
COMA,DefaultReward,0.5838038932884505,0.005252398300080578,25,0.584 ± 0.005
COMA,RewardHard,0.6100331005536336,0.004740216575568112,25,0.61 ± 0.005
COMA,RewardLowerQuantile,0.6833905223562486,0.02094203299064982,25,0.683 ± 0.021
COMA,RewardMaxMedian,0.5854234506326638,0.00328075847367347,25,0.585 ± 0.003
HAPPO,DefaultReward,0.8745807769909889,0.0032413987208259275,25,0.875 ± 0.003
HAPPO,RewardHard,0.20674229856781934,0.0003687261518130741,25,0.207 ± 0.0
HAPPO,RewardLowerQuantile,0.6920515983135621,0.04216918028685573,25,0.692 ± 0.042
HAPPO,RewardMaxMedian,0.8693125367070944,0.007530013186963496,25,0.869 ± 0.008
HATRPO,DefaultReward,0.8225475125864152,0.006855766789596484,25,0.823 ± 0.007
HATRPO,RewardHard,0.9323495039988995,0.0011984347339143995,25,0.932 ± 0.001
HATRPO,RewardLowerQuantile,0.7000469641442848,0.057309270494178305,25,0.7 ± 0.057
HATRPO,RewardMaxMedian,0.8141548507133816,0.013683544960469767,25,0.814 ± 0.014
IA2C,DefaultReward,0.831938974533043,0.003791776383957902,25,0.832 ± 0.004
IA2C,RewardHard,0.9201493967759139,0.0018795895133461946,25,0.92 ± 0.002
IA2C,RewardLowerQuantile,0.6377727200307047,0.03757126537966369,25,0.638 ± 0.038
IA2C,RewardMaxMedian,0.8279409343753872,0.0023743679306375016,25,0.828 ± 0.002
IPPO,DefaultReward,0.912448441358864,0.0,25,0.912 ± 0.0
IPPO,RewardHard,0.9532230863832382,0.002580192263814685,25,0.953 ± 0.003
IPPO,RewardLowerQuantile,0.38595265450965444,0.0,25,0.386 ± 0.0
IPPO,RewardMaxMedian,0.9116325143514825,0.0,25,0.912 ± 0.0
ITRPO,DefaultReward,0.8420094625811069,0.0,25,0.842 ± 0.0
ITRPO,RewardHard,0.9320417222447207,0.0,25,0.932 ± 0.0
ITRPO,RewardLowerQuantile,0.6247968607213576,0.0,25,0.625 ± 0.0
ITRPO,RewardMaxMedian,0.8365477976886715,0.01916264114738755,25,0.837 ± 0.019
MAA2C,DefaultReward,0.8282275020518525,0.00235293386142478,25,0.828 ± 0.002
MAA2C,RewardHard,0.9163401149938665,0.001981401578893805,25,0.916 ± 0.002
MAA2C,RewardLowerQuantile,0.6558426636992859,0.020789424574993175,25,0.656 ± 0.021
MAA2C,RewardMaxMedian,0.8276581001949671,0.0067553755053912715,25,0.828 ± 0.007
MAPPO,DefaultReward,0.9110739478028295,0.0,25,0.911 ± 0.0
MAPPO,RewardHard,0.9432474011146706,0.0,25,0.943 ± 0.0
MAPPO,RewardLowerQuantile,0.538814592514365,0.0,25,0.539 ± 0.0
MAPPO,RewardMaxMedian,0.912518816468894,0.0,25,0.913 ± 0.0
MATRPO,DefaultReward,0.8539204493984488,0.0,25,0.854 ± 0.0
MATRPO,RewardHard,0.9358474488531536,0.0,25,0.936 ± 0.0
MATRPO,RewardLowerQuantile,0.6636607095362342,0.0,25,0.664 ± 0.0
MATRPO,RewardMaxMedian,0.8566661641948261,0.0,25,0.857 ± 0.0
