algo,variant,mean,std,count,mean_std
COMA,DefaultReward,1048.761335586782,6.871521239699762,25,1048.761 ± 6.872
COMA,RewardHard,-219.2230152077249,2.5865560996781656,25,-219.223 ± 2.587
COMA,RewardLowerQuantile,6.733298782554674,0.00968657191866399,25,6.733 ± 0.01
COMA,RewardMaxMedian,1529.8140838646577,5.9977198150128865,25,1529.814 ± 5.998
HAPPO,DefaultReward,358.2979498633551,0.048621085152424685,25,358.298 ± 0.049
HAPPO,RewardHard,-529.6145826895889,0.05080884891582271,25,-529.615 ± 0.051
HAPPO,RewardLowerQuantile,5.895350459675617,0.06281441962444054,25,5.895 ± 0.063
HAPPO,RewardMaxMedian,498.205149326691,5.4730085303268,25,498.205 ± 5.473
HATRPO,DefaultReward,1366.3233835557955,10.451410225792609,25,1366.323 ± 10.451
HATRPO,RewardHard,-32.21295765620229,0.5520349111949937,25,-32.213 ± 0.552
HATRPO,RewardLowerQuantile,5.783142037786646,0.6430489870290853,25,5.783 ± 0.643
HATRPO,RewardMaxMedian,1988.9125354744426,18.350367844814247,25,1988.913 ± 18.35
IA2C,DefaultReward,1455.0652030708397,6.120895321025195,25,1455.065 ± 6.121
IA2C,RewardHard,-42.65452051327539,1.0729096913174991,25,-42.655 ± 1.073
IA2C,RewardLowerQuantile,7.267201750005723,0.014000255294908547,25,7.267 ± 0.014
IA2C,RewardMaxMedian,2125.6975273626063,5.200788504310507,25,2125.698 ± 5.201
IPPO,DefaultReward,1536.3558394282074,0.0,25,1536.356 ± 0.0
IPPO,RewardHard,-14.74853143716896,1.396052223391232,25,-14.749 ± 1.396
IPPO,RewardLowerQuantile,4.160788903538332,0.0,25,4.161 ± 0.0
IPPO,RewardMaxMedian,2221.93004861992,0.0,25,2221.93 ± 0.0
ITRPO,DefaultReward,1385.3191715487999,0.0,25,1385.319 ± 0.0
ITRPO,RewardHard,-29.88163022314651,0.0,25,-29.882 ± 0.0
ITRPO,RewardLowerQuantile,7.814926145391549,0.0,25,7.815 ± 0.0
ITRPO,RewardMaxMedian,1979.0570728838072,48.43054755932314,25,1979.057 ± 48.431
MAA2C,DefaultReward,1447.3347692568411,4.26854695374931,25,1447.335 ± 4.269
MAA2C,RewardHard,-38.68220108088907,1.0722598258493614,25,-38.682 ± 1.072
MAA2C,RewardLowerQuantile,7.162481127383745,0.010757590337997757,25,7.162 ± 0.011
MAA2C,RewardMaxMedian,2119.6296082364233,16.189151236431286,25,2119.63 ± 16.189
MAPPO,DefaultReward,1527.6093843023314,0.0,25,1527.609 ± 0.0
MAPPO,RewardHard,-24.079517920424763,0.0,25,-24.08 ± 0.0
MAPPO,RewardLowerQuantile,7.363988447583175,0.0,25,7.364 ± 0.0
MAPPO,RewardMaxMedian,2230.403124872519,0.0,25,2230.403 ± 0.0
MATRPO,DefaultReward,1445.1515384879121,0.0,25,1445.152 ± 0.0
MATRPO,RewardHard,-30.437399947396692,0.0,25,-30.437 ± 0.0
MATRPO,RewardLowerQuantile,11.20655391338335,0.0,25,11.207 ± 0.0
MATRPO,RewardMaxMedian,2089.011197483918,0.0,25,2089.011 ± 0.0
