algo,variant,group,seed,auc,scenario
happo,BASELINE,happo-BASELINE,happo-BASELINE-1,0.8903485019453913,baseline
happo,BASELINE,happo-BASELINE,happo-BASELINE-2,0.8747345308147848,baseline
happo,BASELINE,happo-BASELINE,happo-BASELINE-3,0.8829794118322429,baseline
happo,BASELINE,happo-BASELINE,happo-BASELINE-4,0.8835407440128876,baseline
happo,BASELINE,happo-BASELINE,happo-BASELINE-5,0.887616920938475,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-1,0.7746694084714815,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-2,0.7749910752996452,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-3,0.7060597868676978,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-4,0.732535179502701,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-5,0.7170172840022387,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-1,0.7651964152367375,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-2,0.7611870255943696,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-3,0.7603699561571579,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-4,0.7614271861474895,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-5,0.7604616317527064,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-1,0.8879919409905643,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-2,0.8879919409905643,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-3,0.8879919409905643,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-4,0.8879919409905643,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-5,0.8879919409905643,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-1,0.7328990580756898,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-2,0.7328990580756898,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-3,0.7328990580756898,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-4,0.7328990580756898,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-5,0.7328990580756898,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-1,0.7433205065040326,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-2,0.7501453766145785,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-3,0.7446604761914153,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-4,0.746651873894168,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-5,0.7430383054706915,baseline
mappo,BASELINE,mappo-BASELINE,mappo-BASELINE-1,0.8632874589559115,baseline
mappo,BASELINE,mappo-BASELINE,mappo-BASELINE-2,0.8632874589559115,baseline
mappo,BASELINE,mappo-BASELINE,mappo-BASELINE-3,0.8632874589559115,baseline
mappo,BASELINE,mappo-BASELINE,mappo-BASELINE-4,0.8632874589559115,baseline
mappo,BASELINE,mappo-BASELINE,mappo-BASELINE-5,0.8632874589559115,baseline
matrpo,BASELINE,matrpo-BASELINE,matrpo-BASELINE-1,0.7159496608768102,baseline
matrpo,BASELINE,matrpo-BASELINE,matrpo-BASELINE-2,0.7159496608768102,baseline
matrpo,BASELINE,matrpo-BASELINE,matrpo-BASELINE-3,0.7159496608768102,baseline
matrpo,BASELINE,matrpo-BASELINE,matrpo-BASELINE-4,0.7159496608768102,baseline
matrpo,BASELINE,matrpo-BASELINE,matrpo-BASELINE-5,0.7159496608768102,baseline
happo,TIMESFM,happo-TIMESFM,happo-TIMESFM-1,0.1792698041155876,timesfm
happo,TIMESFM,happo-TIMESFM,happo-TIMESFM-2,0.17472481604247425,timesfm
happo,TIMESFM,happo-TIMESFM,happo-TIMESFM-3,0.1761302818130416,timesfm
happo,TIMESFM,happo-TIMESFM,happo-TIMESFM-4,0.1827528278301262,timesfm
happo,TIMESFM,happo-TIMESFM,happo-TIMESFM-5,0.16046794691939936,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,hatrpo-TIMESFM-1,0.8310018681101153,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,hatrpo-TIMESFM-2,0.7835628724509264,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,hatrpo-TIMESFM-3,0.8247438744765078,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,hatrpo-TIMESFM-4,0.7678623329984713,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,hatrpo-TIMESFM-5,0.8307595062154546,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,ia2c-TIMESFM-1,0.810031834306102,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,ia2c-TIMESFM-2,0.8121278319121268,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,ia2c-TIMESFM-3,0.8121278319121268,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,ia2c-TIMESFM-4,0.810031834306102,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,ia2c-TIMESFM-5,0.8121278319121268,timesfm
ippo,TIMESFM,ippo-TIMESFM,ippo-TIMESFM-1,0.7937793488591587,timesfm
ippo,TIMESFM,ippo-TIMESFM,ippo-TIMESFM-2,0.7937793488591587,timesfm
ippo,TIMESFM,ippo-TIMESFM,ippo-TIMESFM-3,0.7937793488591587,timesfm
ippo,TIMESFM,ippo-TIMESFM,ippo-TIMESFM-4,0.7937793488591587,timesfm
ippo,TIMESFM,ippo-TIMESFM,ippo-TIMESFM-5,0.7937793488591587,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,itrpo-TIMESFM-1,0.8393611361116038,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,itrpo-TIMESFM-2,0.7927301366955058,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,itrpo-TIMESFM-3,0.7927301366955058,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,itrpo-TIMESFM-4,0.7927301366955058,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,itrpo-TIMESFM-5,0.8393611361116038,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,maa2c-TIMESFM-1,0.8045394223633815,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,maa2c-TIMESFM-2,0.805132353498666,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,maa2c-TIMESFM-3,0.8049928548574856,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,maa2c-TIMESFM-4,0.8045394223633815,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,maa2c-TIMESFM-5,0.8055858011771242,timesfm
mappo,TIMESFM,mappo-TIMESFM,mappo-TIMESFM-1,0.8253230844989834,timesfm
mappo,TIMESFM,mappo-TIMESFM,mappo-TIMESFM-2,0.8253230844989834,timesfm
mappo,TIMESFM,mappo-TIMESFM,mappo-TIMESFM-3,0.8253230844989834,timesfm
mappo,TIMESFM,mappo-TIMESFM,mappo-TIMESFM-4,0.8253230844989834,timesfm
mappo,TIMESFM,mappo-TIMESFM,mappo-TIMESFM-5,0.8253230844989834,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,matrpo-TIMESFM-1,0.8574501295476418,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,matrpo-TIMESFM-2,0.8574501295476418,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,matrpo-TIMESFM-3,0.8574501295476418,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,matrpo-TIMESFM-4,0.8574501295476418,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,matrpo-TIMESFM-5,0.8574501295476418,timesfm
happo,TFM-PREV3,happo-TFM-PREV3,happo-TFM-PREV3-1,0.3467257902159891,tfm_Prev3
happo,TFM-PREV3,happo-TFM-PREV3,happo-TFM-PREV3-2,0.3473227773867516,tfm_Prev3
happo,TFM-PREV3,happo-TFM-PREV3,happo-TFM-PREV3-3,0.34692345796114576,tfm_Prev3
happo,TFM-PREV3,happo-TFM-PREV3,happo-TFM-PREV3-4,0.34760283841812034,tfm_Prev3
happo,TFM-PREV3,happo-TFM-PREV3,happo-TFM-PREV3-5,0.34745624137011527,tfm_Prev3
hatrpo,TFM-PREV3,hatrpo-TFM-PREV3,hatrpo-TFM-PREV3-1,0.8437181622393529,tfm_Prev3
hatrpo,TFM-PREV3,hatrpo-TFM-PREV3,hatrpo-TFM-PREV3-2,0.8458536568483274,tfm_Prev3
hatrpo,TFM-PREV3,hatrpo-TFM-PREV3,hatrpo-TFM-PREV3-3,0.8389942059217992,tfm_Prev3
hatrpo,TFM-PREV3,hatrpo-TFM-PREV3,hatrpo-TFM-PREV3-4,0.8436614281195769,tfm_Prev3
hatrpo,TFM-PREV3,hatrpo-TFM-PREV3,hatrpo-TFM-PREV3-5,0.8418985843545377,tfm_Prev3
ia2c,TFM-PREV3,ia2c-TFM-PREV3,ia2c-TFM-PREV3-1,0.8410027257970601,tfm_Prev3
ia2c,TFM-PREV3,ia2c-TFM-PREV3,ia2c-TFM-PREV3-2,0.8547453608065398,tfm_Prev3
ia2c,TFM-PREV3,ia2c-TFM-PREV3,ia2c-TFM-PREV3-3,0.8547453608065398,tfm_Prev3
ia2c,TFM-PREV3,ia2c-TFM-PREV3,ia2c-TFM-PREV3-4,0.8547453608065398,tfm_Prev3
ia2c,TFM-PREV3,ia2c-TFM-PREV3,ia2c-TFM-PREV3-5,0.8547453608065398,tfm_Prev3
ippo,TFM-PREV3,ippo-TFM-PREV3,ippo-TFM-PREV3-1,0.8303631987195166,tfm_Prev3
ippo,TFM-PREV3,ippo-TFM-PREV3,ippo-TFM-PREV3-2,0.8303631987195166,tfm_Prev3
ippo,TFM-PREV3,ippo-TFM-PREV3,ippo-TFM-PREV3-3,0.8303631987195166,tfm_Prev3
ippo,TFM-PREV3,ippo-TFM-PREV3,ippo-TFM-PREV3-4,0.8303631987195166,tfm_Prev3
ippo,TFM-PREV3,ippo-TFM-PREV3,ippo-TFM-PREV3-5,0.8303631987195166,tfm_Prev3
itrpo,TFM-PREV3,itrpo-TFM-PREV3,itrpo-TFM-PREV3-1,0.8449532798523968,tfm_Prev3
itrpo,TFM-PREV3,itrpo-TFM-PREV3,itrpo-TFM-PREV3-2,0.8449532798523968,tfm_Prev3
itrpo,TFM-PREV3,itrpo-TFM-PREV3,itrpo-TFM-PREV3-3,0.8449532798523968,tfm_Prev3
itrpo,TFM-PREV3,itrpo-TFM-PREV3,itrpo-TFM-PREV3-4,0.8449532798523968,tfm_Prev3
itrpo,TFM-PREV3,itrpo-TFM-PREV3,itrpo-TFM-PREV3-5,0.8449532798523968,tfm_Prev3
maa2c,TFM-PREV3,maa2c-TFM-PREV3,maa2c-TFM-PREV3-1,0.8519872190395625,tfm_Prev3
maa2c,TFM-PREV3,maa2c-TFM-PREV3,maa2c-TFM-PREV3-2,0.8519872190395625,tfm_Prev3
maa2c,TFM-PREV3,maa2c-TFM-PREV3,maa2c-TFM-PREV3-3,0.846623944821079,tfm_Prev3
maa2c,TFM-PREV3,maa2c-TFM-PREV3,maa2c-TFM-PREV3-4,0.8432461854108407,tfm_Prev3
maa2c,TFM-PREV3,maa2c-TFM-PREV3,maa2c-TFM-PREV3-5,0.8519872190395625,tfm_Prev3
mappo,TFM-PREV3,mappo-TFM-PREV3,mappo-TFM-PREV3-1,0.8276686286277065,tfm_Prev3
mappo,TFM-PREV3,mappo-TFM-PREV3,mappo-TFM-PREV3-2,0.8276686286277065,tfm_Prev3
mappo,TFM-PREV3,mappo-TFM-PREV3,mappo-TFM-PREV3-3,0.8276686286277065,tfm_Prev3
mappo,TFM-PREV3,mappo-TFM-PREV3,mappo-TFM-PREV3-4,0.8276686286277065,tfm_Prev3
mappo,TFM-PREV3,mappo-TFM-PREV3,mappo-TFM-PREV3-5,0.8276686286277065,tfm_Prev3
matrpo_TFM,TFM-PREV3,matrpo_TFM-TFM-PREV3,matrpo_TFM-PREV3-1,0.8445847180018385,tfm_Prev3
matrpo_TFM,TFM-PREV3,matrpo_TFM-TFM-PREV3,matrpo_TFM-PREV3-2,0.8445847180018385,tfm_Prev3
matrpo_TFM,TFM-PREV3,matrpo_TFM-TFM-PREV3,matrpo_TFM-PREV3-3,0.8445847180018385,tfm_Prev3
matrpo_TFM,TFM-PREV3,matrpo_TFM-TFM-PREV3,matrpo_TFM-PREV3-4,0.8445847180018385,tfm_Prev3
matrpo_TFM,TFM-PREV3,matrpo_TFM-TFM-PREV3,matrpo_TFM-PREV3-5,0.8445847180018385,tfm_Prev3
happo,TFM-GAMMA85,happo-TFM-GAMMA85,happo-TFM-GAMMA85-1,0.3456938183142254,tfm_gamma85
happo,TFM-GAMMA85,happo-TFM-GAMMA85,happo-TFM-GAMMA85-2,0.3476768428702835,tfm_gamma85
happo,TFM-GAMMA85,happo-TFM-GAMMA85,happo-TFM-GAMMA85-3,0.34720284641686866,tfm_gamma85
happo,TFM-GAMMA85,happo-TFM-GAMMA85,happo-TFM-GAMMA85-4,0.347484837846244,tfm_gamma85
happo,TFM-GAMMA85,happo-TFM-GAMMA85,happo-TFM-GAMMA85-5,0.3454365789461621,tfm_gamma85
hatrpo,TFM-GAMMA85,hatrpo-TFM-GAMMA85,hatrpo-TFM-GAMMA85-1,0.8490993867590235,tfm_gamma85
hatrpo,TFM-GAMMA85,hatrpo-TFM-GAMMA85,hatrpo-TFM-GAMMA85-2,0.8344327070136448,tfm_gamma85
hatrpo,TFM-GAMMA85,hatrpo-TFM-GAMMA85,hatrpo-TFM-GAMMA85-3,0.8490993867590235,tfm_gamma85
hatrpo,TFM-GAMMA85,hatrpo-TFM-GAMMA85,hatrpo-TFM-GAMMA85-4,0.8436614281195769,tfm_gamma85
hatrpo,TFM-GAMMA85,hatrpo-TFM-GAMMA85,hatrpo-TFM-GAMMA85-5,0.8453457468557383,tfm_gamma85
ia2c,TFM-GAMMA85,ia2c-TFM-GAMMA85,ia2c-TFM-GAMMA85-1,0.8547453608065398,tfm_gamma85
ia2c,TFM-GAMMA85,ia2c-TFM-GAMMA85,ia2c-TFM-GAMMA85-2,0.8547453608065398,tfm_gamma85
ia2c,TFM-GAMMA85,ia2c-TFM-GAMMA85,ia2c-TFM-GAMMA85-3,0.8547453608065398,tfm_gamma85
ia2c,TFM-GAMMA85,ia2c-TFM-GAMMA85,ia2c-TFM-GAMMA85-4,0.8547453608065398,tfm_gamma85
ia2c,TFM-GAMMA85,ia2c-TFM-GAMMA85,ia2c-TFM-GAMMA85-5,0.8547453608065398,tfm_gamma85
ippo,TFM-GAMMA85,ippo-TFM-GAMMA85,ippo-TFM-GAMMA85-1,0.8303631987195166,tfm_gamma85
ippo,TFM-GAMMA85,ippo-TFM-GAMMA85,ippo-TFM-GAMMA85-2,0.8303631987195166,tfm_gamma85
ippo,TFM-GAMMA85,ippo-TFM-GAMMA85,ippo-TFM-GAMMA85-3,0.8303631987195166,tfm_gamma85
ippo,TFM-GAMMA85,ippo-TFM-GAMMA85,ippo-TFM-GAMMA85-4,0.8303631987195166,tfm_gamma85
ippo,TFM-GAMMA85,ippo-TFM-GAMMA85,ippo-TFM-GAMMA85-5,0.8303631987195166,tfm_gamma85
itrpo,TFM-GAMMA85,itrpo-TFM-GAMMA85,itrpo-TFM-GAMMA85-1,0.8449532798523968,tfm_gamma85
itrpo,TFM-GAMMA85,itrpo-TFM-GAMMA85,itrpo-TFM-GAMMA85-2,0.8449532798523968,tfm_gamma85
itrpo,TFM-GAMMA85,itrpo-TFM-GAMMA85,itrpo-TFM-GAMMA85-3,0.8449532798523968,tfm_gamma85
itrpo,TFM-GAMMA85,itrpo-TFM-GAMMA85,itrpo-TFM-GAMMA85-4,0.8449532798523968,tfm_gamma85
itrpo,TFM-GAMMA85,itrpo-TFM-GAMMA85,itrpo-TFM-GAMMA85-5,0.8449532798523968,tfm_gamma85
maa2c,TFM-GAMMA85,maa2c-TFM-GAMMA85,maa2c-TFM-GAMMA85-1,0.8432461854108407,tfm_gamma85
maa2c,TFM-GAMMA85,maa2c-TFM-GAMMA85,maa2c-TFM-GAMMA85-2,0.8519872190395625,tfm_gamma85
maa2c,TFM-GAMMA85,maa2c-TFM-GAMMA85,maa2c-TFM-GAMMA85-3,0.8432461854108407,tfm_gamma85
maa2c,TFM-GAMMA85,maa2c-TFM-GAMMA85,maa2c-TFM-GAMMA85-4,0.8519872190395625,tfm_gamma85
maa2c,TFM-GAMMA85,maa2c-TFM-GAMMA85,maa2c-TFM-GAMMA85-5,0.8519872190395625,tfm_gamma85
mappo,TFM-GAMMA85,mappo-TFM-GAMMA85,mappo-TFM-GAMMA85-1,0.8276686286277065,tfm_gamma85
mappo,TFM-GAMMA85,mappo-TFM-GAMMA85,mappo-TFM-GAMMA85-2,0.8276686286277065,tfm_gamma85
