algo,variant,group,seed,occupancy,uptime,sync,efficiency,Occupancy Percentage,scenario
happo,BASELINE,happo-BASELINE,run3,0.6078676491690855,0.9909464510386026,0.18076608846996864,0.8741076469251636,14.922797152025886,baseline
ia2c,BASELINE,ia2c-BASELINE,run3,0.46296051331710364,0.7492715071093308,0.32561054108898774,0.9622875446135059,10.701352166884517,baseline
hatrpo,BASELINE,hatrpo-BASELINE,run3,0.5047047614422733,0.9505589504172026,0.14663899710305495,0.9409254441269719,13.22621266390815,baseline
matrpo,BASELINE,matrpo-BASELINE,run4,0.5134811460920127,0.8704585534589748,0.1949366669947959,0.9572294620241937,12.831820887526154,baseline
maa2c,BASELINE,maa2c-BASELINE,run2,0.46387748370477555,0.7577571475025854,0.32491372881950825,0.9620004182916786,10.656231748160657,baseline
maa2c,BASELINE,maa2c-BASELINE,run4,0.4639273643083451,0.7576473118340369,0.32480686427250194,0.9620173326683545,10.656808918205764,baseline
ia2c,BASELINE,ia2c-BASELINE,run4,0.4625377125340326,0.7469963575235029,0.32614344480097796,0.9623816861602014,10.682149380181034,baseline
mappo,BASELINE,mappo-BASELINE,run4,0.5088066265625036,0.7864451777241358,0.23350675110254665,0.9633457481121501,12.606372160271988,baseline
ia2c,BASELINE,ia2c-BASELINE,run5,0.46272875680376924,0.7476518625340732,0.32557332238289705,0.9623510842577084,10.695561721532052,baseline
hatrpo,BASELINE,hatrpo-BASELINE,run2,0.4920119895636876,0.9604086420213424,0.14049040590734535,0.9408107474666577,12.948165797170683,baseline
ippo,BASELINE,ippo-BASELINE,run3,0.5067186187968775,0.7770616140174721,0.23640452083720906,0.964095501538165,12.292091174523053,baseline
hatrpo,BASELINE,hatrpo-BASELINE,run5,0.5053133113470626,0.972529158040146,0.1474954930319447,0.9397336715329353,13.11707747841921,baseline
hatrpo,BASELINE,hatrpo-BASELINE,run1,0.5008531244132316,0.9707897098228555,0.14378745541840202,0.9406500054015098,13.134922374735341,baseline
mappo,BASELINE,mappo-BASELINE,run2,0.5088066265625036,0.7864451777241358,0.23350675110254665,0.9633457481121501,12.606372160271988,baseline
maa2c,BASELINE,maa2c-BASELINE,run1,0.46394792043754624,0.7581980728472187,0.3248072592859281,0.9619988760132855,10.654427714526514,baseline
hatrpo,BASELINE,hatrpo-BASELINE,run4,0.4958807694139229,0.9700726338676301,0.14336272175371292,0.9416181616044026,12.990635038307094,baseline
happo,BASELINE,happo-BASELINE,run4,0.6064496606021412,0.9909407608606963,0.18099048157141645,0.8741065273629983,14.784142275761354,baseline
happo,BASELINE,happo-BASELINE,run5,0.6079574018780761,0.9909452417563559,0.18079247794275294,0.8740957157743408,14.872619228268828,baseline
ippo,BASELINE,ippo-BASELINE,run1,0.5067186187968775,0.7770616140174722,0.23640452083720903,0.964095501538165,12.292091174523053,baseline
itrpo,BASELINE,itrpo-BASELINE,run5,0.5032271796287378,0.8773456173364819,0.1843063333876989,0.957101531930886,12.570054568538131,baseline
happo,BASELINE,happo-BASELINE,run1,0.6069626146938639,0.9909399947992683,0.1811089246711792,0.8740618402076045,14.810139581371173,baseline
itrpo,BASELINE,itrpo-BASELINE,run2,0.5032271796287378,0.8773456173364819,0.1843063333876989,0.957101531930886,12.570054568538131,baseline
ippo,BASELINE,ippo-BASELINE,run4,0.5067186187968775,0.7770616140174721,0.23640452083720903,0.964095501538165,12.292091174523053,baseline
ia2c,BASELINE,ia2c-BASELINE,run1,0.4625633129201676,0.7471185372399664,0.3259679221570358,0.96238150142732,10.685420460477026,baseline
itrpo,BASELINE,itrpo-BASELINE,run3,0.5032271796287378,0.8773456173364819,0.18430633338769892,0.957101531930886,12.570054568538131,baseline
happo,BASELINE,happo-BASELINE,run2,0.6073072928633848,0.9909401293503238,0.18074111409671725,0.8740952357009958,14.838761505635349,baseline
itrpo,BASELINE,itrpo-BASELINE,run1,0.5032271796287378,0.8773456173364819,0.1843063333876989,0.957101531930886,12.570054568538131,baseline
matrpo,BASELINE,matrpo-BASELINE,run2,0.5134811460920127,0.8704585534589748,0.1949366669947959,0.9572294620241937,12.831820887526154,baseline
ippo,BASELINE,ippo-BASELINE,run2,0.5067186187968775,0.7770616140174722,0.23640452083720906,0.964095501538165,12.292091174523053,baseline
itrpo,BASELINE,itrpo-BASELINE,run4,0.5032271796287379,0.8773456173364819,0.1843063333876989,0.957101531930886,12.570054568538131,baseline
maa2c,BASELINE,maa2c-BASELINE,run3,0.46398030805091817,0.7579985370539091,0.3246937757059636,0.9619995390178391,10.657884898528929,baseline
mappo,BASELINE,mappo-BASELINE,run5,0.5088066265625036,0.7864451777241358,0.23350675110254665,0.9633457481121501,12.606372160271988,baseline
ippo,BASELINE,ippo-BASELINE,run5,0.5067186187968775,0.7770616140174721,0.23640452083720906,0.964095501538165,12.292091174523053,baseline
mappo,BASELINE,mappo-BASELINE,run1,0.5088066265625036,0.7864451777241358,0.23350675110254665,0.9633457481121501,12.606372160271988,baseline
matrpo,BASELINE,matrpo-BASELINE,run3,0.5134811460920127,0.8704585534589749,0.1949366669947959,0.9572294620241937,12.831820887526154,baseline
ia2c,BASELINE,ia2c-BASELINE,run2,0.46296051331710364,0.7492715071093308,0.32561054108898774,0.9622875446135059,10.701352166884519,baseline
matrpo,BASELINE,matrpo-BASELINE,run1,0.5134811460920127,0.8704585534589749,0.19493666699479592,0.9572294620241937,12.831820887526154,baseline
mappo,BASELINE,mappo-BASELINE,run3,0.5088066265625036,0.7864451777241359,0.23350675110254665,0.9633457481121501,12.606372160271988,baseline
maa2c,BASELINE,maa2c-BASELINE,run5,0.46413160131520886,0.7586279694239682,0.3247808511923272,0.9619644808869781,10.656444074818172,baseline
matrpo,BASELINE,matrpo-BASELINE,run5,0.5134811460920127,0.8704585534589748,0.1949366669947959,0.9572294620241938,12.831820887526154,baseline
happo,TIMESFM,happo-TIMESFM,run19,-0.07524856771221758,0.9910766385903829,0.18032846248433043,0.8707996175849737,15.384998728364849,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,run14,-0.018568653785250747,0.25576434069159154,0.03427441921506388,0.19025133915934872,4.380532147898648,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,run20,-0.048874805088294775,0.6160502186734237,0.0929701218447327,0.22055055813786992,7.709390652912305,timesfm
ippo,TIMESFM,ippo-TIMESFM,run11,-0.018139949786890635,0.2025240015945635,0.022339512052691808,0.10045262476870956,2.1713277676549794,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,run19,-0.048874805088294775,0.6160502186734237,0.0929701218447327,0.22055055813786992,7.709390652912305,timesfm
mappo,TIMESFM,mappo-TIMESFM,run16,-0.019140038162156547,0.2171476349030036,0.03103343625047009,0.09647036111753486,2.2885439789632547,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,run16,-0.04451925597284745,0.5602762864786862,0.08418894943526628,0.2107160236653828,7.1124160058720935,timesfm
ippo,TIMESFM,ippo-TIMESFM,run13,-0.018139949786890635,0.2025240015945635,0.022339512052691808,0.10045262476870956,2.1713277676549794,timesfm
happo,TIMESFM,happo-TIMESFM,run20,-0.07510451712136532,0.9910812987482419,0.1806573896194104,0.8707963001381152,15.404881184049056,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,run14,-0.04451925597284745,0.5602762864786862,0.08418894943526628,0.2107160236653828,7.1124160058720935,timesfm
mappo,TIMESFM,mappo-TIMESFM,run18,-0.01914003816215655,0.2171476349030036,0.03103343625047009,0.09647036111753486,2.2885439789632542,timesfm
happo,TIMESFM,happo-TIMESFM,run17,-0.07502452016243183,0.9910775383259492,0.18056587959046475,0.8708237758123315,15.430526845545936,timesfm
happo,TIMESFM,happo-TIMESFM,run18,-0.07540883780176383,0.9910833819179016,0.17928675795927027,0.8707947182147796,15.36551654069212,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,run11,-0.020547632573435757,0.27184639794096266,0.0380952461065148,0.18106199762502384,4.246332446934048,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,run14,-0.0330959269031618,0.44395679493962914,0.057627886611030334,0.29873705885521334,7.008259845896066,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,run15,-0.0189919148748005,0.24587224310390063,0.034057039082486536,0.17847554420684064,3.7278983569353685,timesfm
ippo,TIMESFM,ippo-TIMESFM,run15,-0.018139949786890635,0.2025240015945635,0.022339512052691808,0.10045262476870956,2.1713277676549794,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,run11,-0.017031445275346446,0.2245227292835546,0.03080252004807739,0.16312602890894165,3.523347090135507,timesfm
ippo,TIMESFM,ippo-TIMESFM,run12,-0.018139949786890635,0.20252400159456352,0.022339512052691808,0.10045262476870956,2.1713277676549794,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,run18,-0.044569785864051414,0.560715262168749,0.08452887940677117,0.21101238440770348,7.129429584571833,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,run11,-0.021477725965312,0.26533671780641044,0.03738810959423108,0.17822525025811062,3.6304008850032967,timesfm
mappo,TIMESFM,mappo-TIMESFM,run20,-0.01914003816215655,0.2171476349030036,0.031033436250470087,0.09647036111753488,2.2885439789632542,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,run13,-0.02088257344159131,0.2626945034974614,0.03738164183977834,0.19025410724565162,3.8891756860650504,timesfm
ippo,TIMESFM,ippo-TIMESFM,run14,-0.01813994978689064,0.20252400159456352,0.022339512052691808,0.10045262476870956,2.1713277676549794,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,run16,-0.04865588785498065,0.6132358174305522,0.0925924648102368,0.21926162382082542,7.66900378735294,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,run13,-0.020547632573435757,0.27184639794096266,0.0380952461065148,0.18106199762502384,4.246332446934048,timesfm
happo,TIMESFM,happo-TIMESFM,run16,-0.07522297565891835,0.991079455268282,0.18021584270331964,0.8708130807731493,15.378195124098342,timesfm
hatrpo,TIMESFM,hatrpo-TIMESFM,run12,-0.020358990608724096,0.2710490363226595,0.038377726440240234,0.197150413987907,4.326827377996179,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,run17,-0.044569785864051414,0.560715262168749,0.08452887940677117,0.21101238440770348,7.129429584571833,timesfm
maa2c,TIMESFM,maa2c-TIMESFM,run15,-0.044569785864051414,0.560715262168749,0.08452887940677117,0.21101238440770348,7.129429584571833,timesfm
mappo,TIMESFM,mappo-TIMESFM,run17,-0.01914003816215655,0.2171476349030036,0.03103343625047009,0.09647036111753488,2.2885439789632542,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,run15,-0.03309592690316179,0.44395679493962914,0.057627886611030334,0.29873705885521334,7.008259845896066,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,run17,-0.04865588785498065,0.6132358174305522,0.0925924648102368,0.21926162382082542,7.66900378735294,timesfm
mappo,TIMESFM,mappo-TIMESFM,run19,-0.01914003816215655,0.2171476349030036,0.031033436250470087,0.09647036111753488,2.2885439789632542,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,run12,-0.020547632573435757,0.2718463979409626,0.03809524610651481,0.18106199762502384,4.246332446934047,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,run12,-0.021477725965312,0.26533671780641044,0.03738810959423108,0.17822525025811062,3.6304008850032967,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,run15,-0.020547632573435757,0.2718463979409626,0.03809524610651481,0.18106199762502384,4.246332446934047,timesfm
matrpo,TIMESFM,matrpo-TIMESFM,run14,-0.020547632573435757,0.27184639794096266,0.0380952461065148,0.18106199762502384,4.246332446934048,timesfm
itrpo,TIMESFM,itrpo-TIMESFM,run13,-0.033095926903161786,0.44395679493962914,0.05762788661103035,0.29873705885521334,7.008259845896067,timesfm
ia2c,TIMESFM,ia2c-TIMESFM,run18,-0.04865588785498065,0.6132358174305522,0.0925924648102368,0.21926162382082542,7.66900378735294,timesfm
matrpo,TFM_PREV3,matrpo-TFM_PREV3,run19,-0.08986504289876816,0.30637373630209075,0.044040809633079214,0.18649875984890102,4.086082303040564,tfm_Prev3
happo,TFM_PREV3,happo-TFM_PREV3,run21,-0.28579096072255594,0.9910693075932241,0.18083588608511392,0.8718222882508805,15.331690391375183,tfm_Prev3
matrpo,TFM_PREV3,matrpo-TFM_PREV3,run16,-0.08986504289876816,0.30637373630209075,0.044040809633079214,0.18649875984890102,4.086082303040564,tfm_Prev3
itrpo,TFM_PREV3,itrpo-TFM_PREV3,run16,-0.10993380684335541,0.3663336322394394,0.056523164404222,0.22277142742102327,4.397749906935425,tfm_Prev3
ippo,TFM_PREV3,ippo-TFM_PREV3,run20,-0.09660040400580161,0.31909841418557794,0.03953135181446039,0.1299505378087865,3.1145970525015523,tfm_Prev3
maa2c,TFM_PREV3,maa2c-TFM_PREV3,run20,-0.10830351363741156,0.3625607018402121,0.06056294041857094,0.13365694363387662,3.858028417242741,tfm_Prev3
itrpo,TFM_PREV3,itrpo-TFM_PREV3,run17,-0.10993380684335538,0.3663336322394394,0.056523164404222,0.22277142742102327,4.397749906935425,tfm_Prev3
maa2c,TFM_PREV3,maa2c-TFM_PREV3,run22,-0.10830351363741157,0.3625607018402121,0.060562940418570944,0.13365694363387662,3.858028417242741,tfm_Prev3
happo,TFM_PREV3,happo-TFM_PREV3,run25,-0.28579363385875883,0.9910699684475652,0.18136637556738563,0.8717767685979598,15.328277220312584,tfm_Prev3
hatrpo,TFM_PREV3,hatrpo-TFM_PREV3,run19,-0.08310696887057205,0.28309071266566166,0.04320034765407227,0.18446938835148902,3.8941546288324886,tfm_Prev3
