algo,variant,group,seed,mean_reward,scenario
happo,BASELINE,happo-BASELINE,happo-BASELINE-1,1389.000161214447,baseline
happo,BASELINE,happo-BASELINE,happo-BASELINE-2,1389.0362856628783,baseline
happo,BASELINE,happo-BASELINE,happo-BASELINE-3,1389.8233129611265,baseline
happo,BASELINE,happo-BASELINE,happo-BASELINE-4,1388.723857993834,baseline
happo,BASELINE,happo-BASELINE,happo-BASELINE-5,1389.4818565139653,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-1,2421.0972933631765,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-2,2468.776682334273,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-3,2501.213827008856,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-4,2448.7107382373306,baseline
hatrpo,BASELINE,hatrpo-BASELINE,hatrpo-BASELINE-5,2446.8269438549346,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-1,3503.427108540826,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-2,3494.2304671825023,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-3,3491.938954114971,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-4,3495.518803295178,baseline
ia2c,BASELINE,ia2c-BASELINE,ia2c-BASELINE-5,3492.515062548902,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-1,4032.626705436737,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-2,4032.626705436737,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-3,4032.626705436737,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-4,4032.626705436737,baseline
ippo,BASELINE,ippo-BASELINE,ippo-BASELINE-5,4032.626705436737,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-1,3333.8342929276423,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-2,3333.8342929276423,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-3,3333.8342929276423,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-4,3333.8342929276423,baseline
itrpo,BASELINE,itrpo-BASELINE,itrpo-BASELINE-5,3333.8342929276423,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-1,3465.121659781711,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-2,3484.7592333716625,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-3,3469.184349046163,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-4,3475.828614490652,baseline
maa2c,BASELINE,maa2c-BASELINE,maa2c-BASELINE-5,3465.42298362166,baseline
mappo,BASELINE,mappo-BASELINE,mappo-BASELINE-1,3990.9946689700587,baseline
