trip_id,pt_sequence,stop_id,service_day,hour,hour_start,y_true,y_pred_naive_boardings_per_min,y_pred_naive_boardings_per_min_std,y_pred_timesfm_boardings_per_min,y_pred_timesfm_boardings_per_min_p10,y_pred_timesfm_boardings_per_min_p90
20002_1320_10,1,232142333,2024-05-01,0,00:00,,0.0,0.0,0.0,0.0,0.066233695
20002_1320_10,1,232142333,2024-05-01,1,01:00,,0.0,0.0,0.0,0.0,0.068045385
20002_1320_10,1,232142333,2024-05-01,2,02:00,,0.0,0.0,0.0,0.0,0.09038962
20002_1320_10,1,232142333,2024-05-01,3,03:00,,0.0,0.0,0.004032203,0.0,0.14685407
20002_1320_10,1,232142333,2024-05-01,4,04:00,,0.21684325,0.04293341,0.16331029,0.01988453,0.3616908
20002_1320_10,1,232142333,2024-05-01,5,05:00,0.35,0.705612,0.17176786,0.82835287,0.626651,1.0783668
20002_1320_10,1,232142333,2024-05-01,6,06:00,0.26733336,1.2472272,0.38061848,1.1182239,0.8839115,1.3960171
20002_1320_10,1,232142333,2024-05-01,7,07:00,0.54616666,0.84304607,0.29096788,0.8585478,0.6302744,1.1399642
20002_1320_10,1,232142333,2024-05-01,8,08:00,0.47933334,0.5931899,0.2299298,0.6616771,0.46722192,0.91169083
20002_1320_10,1,232142333,2024-05-01,9,09:00,0.24933334,0.41179693,0.16294257,0.35882226,0.19720405,0.58075476
20002_1320_10,1,232142333,2024-05-01,10,10:00,,0.2362791,0.10642205,0.25751838,0.11454552,0.45695567
20002_1320_10,1,232142333,2024-05-01,11,11:00,0.453,0.2082527,0.114483126,0.23589128,0.0971646,0.426289
20002_1320_10,1,232142333,2024-05-01,12,12:00,0.016666668,0.20643802,0.07603959,0.22983342,0.10610982,0.40956855
20002_1320_10,1,232142333,2024-05-01,13,13:00,0.23833333,0.27338675,0.11464895,0.23022974,0.10527947,0.39937776
20002_1320_10,1,232142333,2024-05-01,14,14:00,0.1945,0.22701462,0.10790725,0.21709496,0.09771187,0.37731662
20002_1320_10,1,232142333,2024-05-01,15,15:00,0.27866665,0.14077586,0.04982362,0.19418457,0.08231247,0.34168667
20002_1320_10,1,232142333,2024-05-01,16,16:00,0.19716667,0.15582107,0.0709952,0.17493534,0.061553486,0.3224374
20002_1320_10,1,232142333,2024-05-01,17,17:00,0.12366667,0.30803075,0.16696997,0.26853952,0.15108135,0.41468284
20002_1320_10,1,232142333,2024-05-01,18,18:00,0.33416665,0.26773196,0.12879227,0.37301385,0.26865277,0.52036494
20002_1320_10,1,232142333,2024-05-01,19,19:00,0.27650002,0.12540442,0.06020701,0.11726307,0.030603703,0.24053375
20002_1320_10,1,232142333,2024-05-01,20,20:00,0.26766667,0.050835416,0.025814027,0.008259481,0.0,0.11786698
20002_1320_10,1,232142333,2024-05-01,21,21:00,0.033333335,0.039024156,0.028541373,0.031811506,0.0,0.11847086
20002_1320_10,1,232142333,2024-05-01,22,22:00,0.055999998,0.008867608,0.012193563,0.008863381,0.0,0.08495452
20002_1320_10,1,232142333,2024-05-01,23,23:00,0.023333333,0.0028218396,0.006695539,0.013694566,0.0,0.08616233
20002_1320_10,1,232142333,2024-05-02,0,00:00,,0.0,0.0,0.0,0.0,0.081105754
20002_1320_10,1,232142333,2024-05-02,1,01:00,,0.0,0.0,0.0,0.0,0.08693222
20002_1320_10,1,232142333,2024-05-02,2,02:00,,0.0,0.0,0.0,0.0,0.10645084
20002_1320_10,1,232142333,2024-05-02,3,03:00,,0.0,0.0,0.019928012,0.0,0.17939076
