trip_label,pt_sequence,stop_id,method,n_points,mse,rmse,mae,mape_pct,wape_pct
20001_0310_1,1,44782849,naive,329,0.22947405142478777,0.4790344992010364,0.34054350081865187,77.27292297969207,31.617367594570457
20001_0310_1,1,44782849,timesfm,329,0.19634119280597853,0.4431040428680137,0.31071940262583975,65.91100671481497,28.848383680703737
20001_0310_1,2,47567835,naive,329,0.009472338289913068,0.09732593842297678,0.06560054128440408,91.49394306154382,64.50114619838064
20001_0310_1,2,47567835,timesfm,329,0.011302766206347556,0.10631446847135885,0.0632521594111315,68.28570569548371,62.19212069993414
20001_0310_1,3,44783952,naive,326,0.009852463326997924,0.09925957549273483,0.06754095065036068,102.73808103623657,60.932700279600425
20001_0310_1,3,44783952,timesfm,326,0.010187628813746566,0.10093378430310916,0.06180429336846309,69.63549046404631,55.75732126288848
20001_0310_1,4,44784227,naive,325,0.005010188562518893,0.07078268547122872,0.04903336123205148,92.23000446929947,62.551033581593565
20001_0310_1,4,44784227,timesfm,325,0.005439368742091353,0.07375207618834437,0.04591279804276732,68.48939035882775,58.570183647145136
20001_0310_1,5,44783495,naive,325,0.007994311787543265,0.0894109153713531,0.06293069732876924,104.58149580160381,69.94213881962278
20001_0310_1,5,44783495,timesfm,325,0.007562554194275081,0.08696294724924565,0.05605405682268051,71.9975717477401,62.299335461243
20001_0310_1,6,88229436,naive,326,0.019000557529829626,0.13784250987931707,0.09216715346884691,153.25436308863908,73.6125846372525
20001_0310_1,6,88229436,timesfm,326,0.01453024631528543,0.12054147135025949,0.07658088711473199,90.30082173585855,61.16405706545487
20001_0310_1,7,44783484,naive,325,0.004673010333448479,0.06835942022463677,0.05127598961671958,117.26469904758817,88.85684980432114
20001_0310_1,7,44783484,timesfm,325,0.004472952537267407,0.06688013559546217,0.04307228045000766,69.34801827416601,74.64053221174636
20001_0310_1,8,69442472,naive,326,0.003260552618174654,0.05710124883200589,0.04403497270119885,88.95370792424261,103.5179128084764
20001_0310_1,8,69442472,timesfm,326,0.0028164458664397527,0.0530701975353376,0.036126228475063304,56.56502139156822,84.92594726370496
20001_0310_1,9,44784228,naive,326,0.004334503002117597,0.06583694253318266,0.04714357126161365,76.90677362485707,66.51997929310927
20001_0310_1,9,44784228,timesfm,326,0.004511036782001911,0.06716425226265763,0.047124917674638285,67.15172623652198,66.49365892352044
20001_0310_1,10,45833917,naive,326,0.001352098316077754,0.036770889519805665,0.025017917680445534,69.464024666863,102.42450644743653
20001_0310_1,10,45833917,timesfm,326,0.0012981343776886458,0.03602963193940018,0.021653877122704786,55.74554301844249,88.65196957219253
20001_0310_1,11,44783486,naive,326,0.0022512215980983507,0.04744703992978224,0.033329627479489414,101.57690608463452,99.10349500950294
20001_0310_1,11,44783486,timesfm,326,0.0015595508304066942,0.03949114876028164,0.026469613446681216,61.89241205221698,78.70568627660012
20001_0310_1,12,44783013,naive,326,0.012580137151892332,0.11216121054933534,0.08561418964270434,151.88031477564402,86.35078776827179
20001_0310_1,12,44783013,timesfm,326,0.013411807763450979,0.11580935956757113,0.0756177185388979,93.7829201862909,76.26831010517789
20001_0310_1,13,45833919,naive,326,0.02898074857319443,0.17023733013999728,0.12166819602616726,94.24524708234013,48.47680638380223
20001_0310_1,13,45833919,timesfm,326,0.031186782324490847,0.17659779818698434,0.12482235111021922,86.62094665265857,49.7335305755638
20001_0310_1,14,44164980,naive,327,0.00308868151051215,0.055575907644519404,0.029941506413258726,59.71030875377883,108.59576741749966
20001_0310_1,14,44164980,timesfm,327,0.0031733106335654587,0.05633214565028975,0.027352716218728562,58.157181657465195,99.20640490588566
20001_0310_1,15,44782829,naive,327,0.0011164902757913426,0.03341392338219717,0.02168289746018269,56.19742697360985,109.52790897744624
20001_0310_1,15,44782829,timesfm,327,0.0009464372053170777,0.030764219562944835,0.0184721191918701,54.7209613147121,93.3091434474108
20001_0310_1,16,44783639,naive,327,0.0012556463828505876,0.03543510099958214,0.026927213550513945,76.4594193550906,74.92282145492086
20001_0310_1,16,44783639,timesfm,327,0.0012768217150267802,0.03573264215009548,0.02510310885131883,55.89082294688642,69.84739579171595
20001_0310_1,17,43787620,naive,327,0.0,0.0,0.0,,
20001_0310_1,17,43787620,timesfm,327,0.0,0.0,0.0,,
20001_0310_2,1,43787620,naive,528,0.006925198556760812,0.08321777788886707,0.04893332418622308,82.58625432009312,77.80188262687172
20001_0310_2,1,43787620,timesfm,528,0.006337084073565394,0.07960580427057687,0.044104337485006195,62.59990234256221,70.12400128970768
20001_0310_2,2,44164986,naive,526,0.020549229286878117,0.14335002367240166,0.1167729833471401,245.45245128141647,120.07593359401432
20001_0310_2,2,44164986,timesfm,526,0.012929115878717241,0.1137062701820671,0.07734040200388052,92.23887514701894,79.52799276819856
20001_0310_2,3,120548519,naive,523,0.0548313904604138,0.23416103531632626,0.16520177083620605,69.28647149410672,38.824544569717204
20001_0310_2,3,120548519,timesfm,523,0.06969216253236328,0.2639927319688239,0.18355385965202894,80.85516225071552,43.137521885703514
20001_0310_2,4,44782596,naive,521,0.012293877974966791,0.1108777614085295,0.07964214150241491,81.16473793376677,47.83601495037105
20001_0310_2,4,44782596,timesfm,521,0.014608901672501123,0.12086728950589205,0.0875658089198501,83.65401386400485,52.595262578471356
